Title,Release,Genre,Age,Nation,Type,Director,Main_actor,Audi
더 테러 라이브,2013-07-31,"범죄,기타",15세이상관람가,한국,"필름,2D",김병우,"하정우,이경영,전혜진,이다윗",5584295
쥬라기 월드,2015-06-11,"액션,어드벤처,SF",12세이상관람가,미국,"필름,2D,3D,4D,IMAX",콜린 트레보로우,"크리스 프랫,주디 그리어,브라이스 달라스 하워드,케이티 맥그라스,제이크 존슨,빈센트 도노프리오",5547463
감시자들,2013-07-03,"범죄,액션",15세이상관람가,한국,"필름,2D","조의석,김병서","설경구,정우성,한효주,진경,이준호",5509019
앤트맨과 와스프,2018-07-04,"액션,어드벤처,SF",12세이상관람가,미국,"2D,3D,4D,IMAX",페이튼 리드,"폴 러드,에반젤린 릴리,마이클 더글라스,미셀 파이퍼,로렌스 피쉬번,해나 존-케이먼",5448357
닥터 스트레인지,2016-10-26,"액션,어드벤처,판타지",12세이상관람가,미국,"2D,3D,4D,IMAX",스콧 데릭슨,"베네딕트 컴버배치,레이첼 맥아담스,틸다 스윈튼,매즈 미켈슨,치웨텔 에지오포",5447269
검은 사제들,2015-11-05,"미스터리,드라마",15세이상관람가,한국,"필름,2D",장재현,"김윤석,강동원",5443232
안시성,2018-09-19,"사극,액션",12세이상관람가,한국,"2D,4D",김광식,"조인성,남주혁,박성웅,김동진",5441020
의형제,2010-02-04,"드라마,액션",15세이상관람가,한국,"필름,2D",장훈,"송강호,강동원",5416923
블랙 팬서,2018-02-14,"액션,드라마,SF",12세이상관람가,미국,"2D,3D,4D,IMAX",라이언 쿠글러,채드윅 보스만,5400241
2012,2009-11-12,"SF,액션,어드벤처",12세이상관람가,미국,"필름,2D,3D",롤랜드 에머리히,"존 쿠삭 ,아만다 피트,올리버 플랫,탠디 뉴튼,치웨텔 에지오포",5397597
더 킹,2017-01-18,"범죄,드라마",15세이상관람가,한국,2D,한재림,"조인성,정우성,배성우,류준열,김의성,이석호",5318202
완득이,2011-10-20,드라마,12세이상관람가,한국,"필름,2D",이한,"김윤석,유아인",5311353
트랜스포머: 사라진 시대,2014-06-25,"액션,SF,어드벤처",12세이상관람가,미국,"필름,2D,3D,4D,IMAX",마이클 베이,"마크 월버그,니콜라 펠츠,잭 레이너,스탠리 투치,리빙빙",5295836
완벽한 타인,2018-10-31,"드라마,코미디",15세이상관람가,한국,2D,이재규,"유해진,조진웅,이서진,염정아,김지수,송하윤,윤경호",5294154
조커,2019-10-02,"액션,드라마,스릴러",15세이상관람가,미국,"2D,IMAX",토드 필립스,"호아킨 피닉스,재지 비츠,로버트 드 니로,프란시스 콘로이,브렛 컬렌",5255308
월드 워 Z,2013-06-20,"드라마,스릴러,SF,액션,어드벤처",15세이상관람가,미국,"필름,2D,3D,4D",마크 포스터,"브래드 피트,미레유 에노스,매튜 폭스",5244336
타워,2012-12-25,드라마,12세이상관람가,한국,"필름,2D",김지훈,"설경구,손예진,김상경,차인표,조민아",5181244
