,Title,Release,Genre,Age,Nation,Type,Director,Main_actor
137,나쁜 녀석들: 더 무비,2019-09-11,"범죄,액션",15세이상관람가,한국,2D,손용호,"마동석(박웅철),김상중(오구탁),김아중(곽노순),장기용(고유성)"
138,캐리비안의 해적: 세상의 끝에서,2007-05-23,"액션,코미디,어드벤처,판타지",12세이상관람가,미국,필름,고어 버빈스키,"조니 뎁,올랜도 블룸"
139,가문의 위기(가문의 영광2),2005-09-07,코미디,15세관람가,한국,필름,정용기,"신현준,김수미,김원희,정준하(종면)"
140,연가시,2012-07-05,"공포(호러),SF",15세이상관람가,한국,"필름,2D",박정우,"김명민(재혁),문정희(경순),김동완(재필),이하늬(연주)"
141,터미네이터 : 미래전쟁의 시작,2009-05-21,"SF,액션",15세이상관람가,미국,"필름,2D",맥지,"크리스찬 베일(존 코너),샘 워싱턴(마커스 라이트),문 블러드굿(블레어 윌리엄스),안톤 옐친(카일 리스)"
142,강철비,2017-12-14,"액션,드라마",15세이상관람가,한국,2D,양우석,"정우성,곽도원"
143,아이언맨 2,2010-04-29,"SF,액션,어드벤처",12세이상관람가,미국,"필름,2D,4D,IMAX",존 파브로,"로버트 다우니 주니어,기네스 팰트로우,돈 치들,스칼렛 요한슨,미키 루크"
144,해리포터와 죽음의 성물2,2011-07-13,"판타지,미스터리",전체관람가,미국,"필름,2D,3D,4D,IMAX",데이빗 예이츠,"다니엘 래드클리프(해리 포터 ),엠마 왓슨(헤르미온느),루퍼트 그린트(론 웨슬리)"
145,더 퍼스트 슬램덩크,2023-01-04,애니메이션,12세이상관람가,일본,"2D,IMAX,DOLBYCINEMA",이노우에 다케히코,
146,다만 악에서 구하소서,2020-08-05,"범죄,액션",15세이상관람가,한국,2D,홍원찬,"황정민(인남),이정재(레이),박정민(유이),박소이(유민)"
147,헌트,2022-08-10,"액션,드라마",15세이상관람가,한국,2D,이정재,"이정재(박평호),정우성(김정도),전혜진(방주경),허성태(장철성),고윤정(조유정),김종수(안부장),정만식(양보성)"
148,엑스맨: 데이즈 오브 퓨처 패스트,2014-05-22,"액션,판타지,SF,어드벤처",12세이상관람가,미국,"필름,2D,3D,4D",브라이언 싱어,"휴 잭맨,제임스 맥어보이,마이클 패스벤더,제니퍼 로렌스"
149,강철중: 공공의 적 1-1,2008-06-19,"드라마,액션",15세이상관람가,한국,"필름,2D",강우석,"설경구,정재영,김영필(준만)"
150,아이언맨,2008-04-30,"SF,드라마,액션",12세이상관람가,미국,"필름,2D,4D",존 파브로,"로버트 다우니 주니어(토니 스타크 / 아이언 맨),테렌스 하워드(제임스 로드 ),제프 브리지스(오베디아 스탠 ),기네스 팰트로우(버지니아 펩퍼 포츠 )"
151,아가씨,2016-06-01,"스릴러,드라마",청소년관람불가,한국,2D,박찬욱,"김민희(아가씨),김태리(숙희),하정우(백작),조진웅(이모부)"
152,박물관이 살아있다!,2006-12-21,"코미디,어드벤처",전체관람가,미국,필름,숀 레비,"벤 스틸러(래리 데일리),로빈 윌리엄스(테디 루즈벨트)"
153,다크 나이트,2008-08-06,"범죄,드라마,액션,미스터리",15세이상관람가,미국,"필름,2D,4D,IMAX",크리스토퍼 놀란,"크리스찬 베일(브루스 웨인/ 배트맨),마이클 케인(알프레드),히스 레저(조커)"
154,말아톤,2005-01-27,드라마,전체관람가,한국,필름,정윤철,"조승우(윤초원),김미숙(초원 엄마, 경숙)"
155,어메이징 스파이더맨 2,2014-04-23,"액션,판타지",12세이상관람가,미국,"필름,2D,3D,4D,IMAX",마크 웹,"앤드류 가필드,엠마 스톤,제이미 폭스,데인 드한"
156,용의자,2013-12-24,"액션,스릴러",15세이상관람가,한국,"필름,2D,4D",원신연,"공유(지동철),박희순(민세훈),조성하(김석호),유다인(최경희),김성균(리광조),조재윤"
157,건축학개론,2012-03-22,"멜로/로맨스,드라마",12세이상관람가,한국,"필름,2D",이용주,"엄태웅(현재 승민 ),한가인(현재 서연 ),이제훈(과거 승민),배수지(과거 서연)"
158,인디아나 존스 4 : 크리스탈 해골의 왕국,2008-05-22,"액션,어드벤처",12세이상관람가,미국,필름,스티븐 스필버그,"해리슨 포드,샤이아 라보프(머트 윌리엄스)"
159,미이라 3:황제의 무덤,2008-07-30,"액션,어드벤처,판타지",12세이상관람가,미국,필름,롭 코헨,"브렌든 프레이저,마리아 벨로,이연걸"
160,댄싱퀸,2012-01-18,"코미디,드라마",12세이상관람가,한국,"필름,2D",이석훈,"황정민,엄정화(엄정화)"
161,7급 공무원,2009-04-22,"코미디,액션,드라마,범죄",12세이상관람가,한국,"필름,2D",신태라,"김하늘(안수지),강지환(이재준),임성현(산업보안팀 현장요원)"
162,우리 생애 최고의 순간,2008-01-10,드라마,전체관람가,한국,필름,임순례,"문소리(미숙),김정은(혜경),엄태웅(대표팀 감독),김지영(송정란),조은지(골키퍼 수희),강재원(해설자)"
163,꾼,2017-11-22,범죄,15세이상관람가,한국,2D,장창원,"현빈,유지태(박희수 검사)"
164,타짜-신의 손,2014-09-03,드라마,청소년관람불가,한국,"필름,2D",강형철,"최승현(함대길),신세경(허미나),곽도원(장동식),유해진(고광렬),김윤석(아귀 ),이하늬(우사장),김인권(허광철),이경영(꼬장),고수희(송마담 ),오정세(서실장)"
165,혹성탈출: 반격의 서막,2014-07-10,"액션,드라마,SF,스릴러",12세이상관람가,미국,"필름,2D,3D,4D",맷 리브스,"앤디 서키스,게리 올드만,제이슨 클락"
166,쿵푸팬더3,2016-01-28,"애니메이션,액션,어드벤처",전체관람가,미국,"2D,3D,4D,IMAX","여인영,알레산드로 칼로니","잭 블랙(포),안젤리나 졸리(타이그리스),더스틴 호프만(시푸),성룡(몽키),세스 로건(맨티스),루시 리우(바이퍼),데이빗 크로스(크레인),J.K. 시몬스(카이)"
167,캡틴 아메리카: 윈터 솔져,2014-03-26,"액션,어드벤처,SF",15세이상관람가,미국,"필름,2D,3D,4D,IMAX","조 루소,안소니 루소","크리스 에반스,스칼렛 요한슨,사무엘 L. 잭슨,로버트 레드포드"
168,스즈메의 문단속,2023-03-08,애니메이션,12세이상관람가,일본,"2D,4D,IMAX,DOLBYCINEMA",신카이 마코토,
169,매드 맥스: 분노의 도로,2015-05-14,"액션,어드벤처,스릴러",15세이상관람가,"미국,호주","필름,2D,3D,4D,IMAX",조지 밀러,"톰 하디,샤를리즈 테론,니콜라스 홀트,휴 키즈 바인"
170,캐리비안의 해적 : 망자의 함,2006-07-06,"액션,코미디,어드벤처,판타지",12세관람가,미국,필름,고어 버빈스키,"조니 뎁(캡틴 잭 스패로우),올랜도 블룸(윌 터너)"
171,박수건달,2013-01-09,코미디,15세이상관람가,한국,"필름,2D",조진규,"박신양(광호),김정태(태주),엄지원(명보살),정혜영(미숙)"
172,베놈,2018-10-03,"액션,SF,스릴러",15세이상관람가,미국,"2D,4D,IMAX",루벤 플레셔,"톰 하디,미쉘 윌리엄스,리즈 아메드,제니 슬레이트"
173,조선명탐정 : 사라진 놉의 딸,2015-02-11,"사극,코미디,어드벤처",12세이상관람가,한국,"필름,2D",김석윤,"김명민,오달수,이연희"
174,역린,2014-04-30,사극,15세이상관람가,한국,"필름,2D,4D",이재규,"현빈(정조),정재영,조정석,한지민(정순왕후),조재현,박성웅(홍국영),김성령,정은채"
175,남한산성,2017-10-03,"사극,드라마",15세이상관람가,한국,2D,황동혁,"이병헌(최명길),김윤석,박해일(인조),고수(서날쇠),박희순,조우진"
176,너의 이름은.,2017-01-04,"애니메이션,드라마,멜로/로맨스",12세이상관람가,일본,"2D,IMAX",신카이 마코토,"카미키 류노스케(타치바나 타키 역),카미시라이시 모네(미야미즈 미츠하 역),나가사와 마사미(오쿠데라 미키 역),이치하라 에수코(미야미즈 히토하 역),유키 아오이(나토리 사야카 역),시마자키 노부나가(후지이 츠카사 역),이시카와 카이토(타카기 신타 역),타니 카논(미야미즈 요츠하 역)"
177,반도,2020-07-15,"액션,드라마",15세이상관람가,한국,"2D,4D,IMAX,ScreenX",연상호,"강동원(한정석),이정현(민정)"
178,암수살인,2018-10-03,"범죄,드라마",15세이상관람가,한국,2D,김태균,"김윤석(김형민),주지훈,문정희,진선규,이유준(박사장)"
179,데드풀 2,2018-05-16,"액션,어드벤처,코미디,SF",청소년관람불가,미국,"2D,4D,IMAX",데이빗 레이치,"라이언 레이놀즈,조슈 브롤린,재지 비츠,모레나 바카린,브리아나 힐데브란드"
180,라라랜드,2016-12-07,"드라마,뮤지컬,멜로/로맨스",12세이상관람가,미국,"2D,IMAX,DOLBYCINEMA",데이미언 셔젤,"엠마 스톤,라이언 고슬링,핀 위트록,J.K. 시몬스"
181,국가부도의 날,2018-11-28,드라마,12세이상관람가,한국,2D,최국희,"김혜수(한시현),유아인,허준호,조우진,뱅상 카셀"
182,쌍화점,2008-12-30,드라마,청소년관람불가,한국,"필름,2D",유하,"조인성(호위무사, 홍림 ),주진모(고려 왕),송지효(왕후),임주환(건룡위, 한백),여욱환(건룡위, 임보 )"
183,신기전,2008-09-04,"사극,드라마,액션,전쟁",15세이상관람가,한국,"필름,2D",김유진,"정재영,한은정(홍리),허준호"
184,해리 포터와 불사조 기사단,2007-07-11,"판타지,액션,어드벤처",전체관람가,미국,"필름,2D,4D",데이빗 예이츠,"다니엘 래드클리프,루퍼트 그린트"
185,미이라,2017-06-06,"액션,어드벤처,판타지",15세이상관람가,미국,"2D,3D,4D,IMAX",알렉스 커츠먼,"톰 크루즈,소피아 부텔라,애나벨 월리스,러셀 크로우,하비에르 보텟,제이크 존슨,코트니 B. 반스"
186,82년생 김지영,2019-10-23,드라마,12세이상관람가,한국,2D,김도영,"정유미(지영),공유(대현),김국희(수빈엄마)"
187,분노의 질주: 더 익스트림,2017-04-12,"액션,범죄,스릴러",15세이상관람가,"미국,일본,프랑스,캐나다","2D,4D,IMAX,DOLBYCINEMA",F. 게리 그레이,"빈 디젤,드웨인 존슨,샤를리즈 테론,제이슨 스타뎀,스콧 이스트우드,커트 러셀,미셸 로드리게즈"
188,분노의 질주: 홉스&쇼,2019-08-14,액션,12세이상관람가,미국,"2D,4D,IMAX,DOLBYCINEMA",데이빗 레이치,"드웨인 존슨,제이슨 스타뎀,이드리스 엘바,바네사 커비"
189,모가디슈,2021-07-28,"액션,드라마",15세이상관람가,한국,"2D,4D,IMAX,ScreenX",류승완,"김윤석(한신성 대사),조인성(강대진 참사관),허준호(림용수 대사),구교환(태준기 참사관),김소진(김명희),정만식(공수철 서기관)"
190,인턴,2015-09-24,코미디,12세이상관람가,미국,"필름,2D",낸시 마이어스,"앤 해서웨이,로버트 드 니로,르네 루소,냇 울프,아담 드바인,앤드류 라넬스"
191,귀향,2016-02-24,드라마,15세이상관람가,한국,2D,조정래,"손숙(영옥(영희)),강하나(정민),최리(은경),임성철(류스케),정무성,류신"
192,리얼 스틸,2011-10-12,"액션,드라마,SF",12세이상관람가,미국,"필름,2D,4D,IMAX",숀 레비,휴 잭맨
193,신의 한 수,2014-07-03,"범죄,액션",청소년관람불가,한국,"필름,2D",조범구,"정우성,안성기,이범수,김인권,이시영,안길강(허 목수),최진혁"
194,코코,2018-01-11,애니메이션,전체관람가,미국,"2D,4D,IMAX",리 언크리치,"가엘 가르시아 베르날,앤서니 곤잘레스,벤자민 브랫"
195,해리 포터와 불의 잔,2005-12-01,"액션,판타지",12세관람가,미국,"필름,4D",마이크 뉴웰,"다니엘 래드클리프(해리 포터),루퍼트 그린트(론 위즐리),엠마 왓슨(헤르미온느 그레인저),랄프 파인즈(볼드모트)"
196,비긴 어게인,2014-08-13,멜로/로맨스,15세이상관람가,미국,"필름,2D",존 카니,"키이라 나이틀리,마크 러팔로,애덤 리바인,헤일리 스테인펠드,제임스 코든,캐서린 키너"
197,태풍,2005-12-14,"드라마,액션",15세관람가,한국,"필름,2D",곽경택,"이정재,이미연(최명주 역),장동건"
198,킹콩,2005-12-14,"드라마,어드벤처",15세관람가,미국,필름,피터 잭슨,"잭 블랙,애드리언 브로디,나오미 왓츠"
199,부러진 화살,2012-01-18,드라마,15세이상관람가,한국,"필름,2D",정지영,"안성기(김경호),박원상(박준),나영희(김경호부인),김지호(장은서),신종훈(처남)"
