,Title,Release,Genre,Age,Nation,Type,Director,Main_actor
43,트랜스포머 3,2011-06-29,"액션,어드벤처",12세이상관람가,미국,"필름,2D,3D,4D,IMAX",마이클 베이,"조쉬 더하멜(Lt. 코널 윌리엄 레녹스),존 말코비치(브루스 ),로지 헌팅턴-휘틀리(칼리 ),샤이아 라보프(샘 윗윅키 ),패트릭 뎀시(딜런 )"
44,히말라야,2015-12-16,드라마,12세이상관람가,한국,"필름,2D",이석훈,"황정민,정우"
45,스파이더맨: 노 웨이 홈,2021-12-15,"액션,어드벤처,SF",12세이상관람가,미국,"2D,4D,IMAX,ScreenX,DOLBYCINEMA",존 왓츠,"톰 홀랜드(피터 파커/스파이더맨),젠데이아 콜먼(MJ),베네딕트 컴버배치(닥터 스트레인지),제이콥 배덜런(네드 리즈),존 파브로(해피 호건),마리사 토메이(메이 숙모)"
46,미션임파서블:고스트프로토콜,2011-12-15,액션,15세이상관람가,미국,"필름,2D,4D,IMAX",브래드 버드,"톰 크루즈,제레미 레너"
47,밀정,2016-09-07,액션,15세이상관람가,"한국,미국","2D,4D",김지운,"송강호,공유"
48,최종병기 활,2011-08-10,"사극,액션",15세이상관람가,한국,"필름,2D,4D",김한민,"박해일(남이),류승룡(쥬신타),김무열(서군),문채원(자인)"
49,트랜스포머,2007-06-28,"SF,액션,어드벤처",12세이상관람가,미국,"필름,2D,IMAX",마이클 베이,"샤이아 라보프(샘 윗윅키),메간 폭스"
50,트랜스포머: 패자의 역습,2009-06-24,"SF,액션,어드벤처",12세이상관람가,미국,"필름,2D,IMAX",마이클 베이,"샤이아 라보프(샘 윗윅키),메간 폭스(미카엘라 바니스)"
51,써니,2011-05-04,"드라마,코미디",15세이상관람가,한국,"필름,2D",강형철,"유호정(나미),심은경(어린 나미),강소라(어린 춘화),고수희(장미),홍진희(진희),김민영,김선경,김보미(어린 복희),이연경(금옥),남보라(어린금옥),민효린,조민수(과거 사진 특별출연)"
52,한산: 용의 출현,2022-07-27,"액션,드라마",12세이상관람가,한국,"2D,4D,IMAX,ScreenX",김한민,"박해일(이순신),변요한(와키자카 야스하루),안성기(어영담),손현주(원균),김성규(준사),김성균(가토),김향기(보름),옥택연(임준영),공명(이억기),박지환(나대용),조재윤(마나베 사마노조),김효주(기생10)"
