,연도,전체개봉편수,전체상영편수,전체매출액,전체관객수,요일
204,2004-07-17 00:00:00,0,16,3801422000,604909,Saturday
205,2004-07-18 00:00:00,0,15,3075842500,484290,Sunday
206,2004-07-19 00:00:00,0,16,1248768500,199850,Monday
207,2004-07-20 00:00:00,0,17,1193699500,191031,Tuesday
208,2004-07-21 00:00:00,0,17,1184679500,190589,Wednesday
209,2004-07-22 00:00:00,3,17,1508270000,244500,Thursday
210,2004-07-23 00:00:00,2,18,2124094500,341072,Friday
211,2004-07-24 00:00:00,1,19,3270041500,516537,Saturday
212,2004-07-25 00:00:00,0,18,3124602000,493058,Sunday
213,2004-07-26 00:00:00,0,18,1598258000,257220,Monday
214,2004-07-27 00:00:00,0,19,1576706500,254164,Tuesday
215,2004-07-28 00:00:00,0,22,1586518500,255664,Wednesday
216,2004-07-29 00:00:00,0,19,1882985500,303351,Thursday
217,2004-07-30 00:00:00,5,16,2314097000,367799,Friday
218,2004-07-31 00:00:00,0,17,3316133500,517991,Saturday
220,2004-08-01 00:00:00,0,17,3247996500,505424,Sunday
221,2004-08-02 00:00:00,0,19,2262380500,360645,Monday
222,2004-08-03 00:00:00,0,19,2195180000,348942,Tuesday
223,2004-08-04 00:00:00,0,22,1905219500,305480,Wednesday
224,2004-08-05 00:00:00,2,21,2044994000,327602,Thursday
225,2004-08-06 00:00:00,7,22,2412187500,381878,Friday
226,2004-08-07 00:00:00,0,22,3040237500,476811,Saturday
227,2004-08-08 00:00:00,0,22,3033926500,471751,Sunday
228,2004-08-09 00:00:00,0,23,1665335000,264369,Monday
229,2004-08-10 00:00:00,0,24,1692840500,268678,Tuesday
230,2004-08-11 00:00:00,0,27,1619741500,256654,Wednesday
231,2004-08-12 00:00:00,1,25,1837465500,294473,Thursday
232,2004-08-13 00:00:00,3,22,2163701500,341067,Friday
233,2004-08-14 00:00:00,0,24,3275520000,509433,Saturday
234,2004-08-15 00:00:00,0,23,3003532500,464899,Sunday
235,2004-08-16 00:00:00,0,23,1577566500,250398,Monday
236,2004-08-17 00:00:00,0,24,1548875000,245727,Tuesday
237,2004-08-18 00:00:00,0,27,1380856500,218029,Wednesday
238,2004-08-19 00:00:00,2,28,1607388500,257621,Thursday
239,2004-08-20 00:00:00,7,28,1922410500,305672,Friday
240,2004-08-21 00:00:00,0,28,3017498000,469319,Saturday
241,2004-08-22 00:00:00,0,28,2841217500,437493,Sunday
242,2004-08-23 00:00:00,0,28,1322848500,209926,Monday
243,2004-08-24 00:00:00,0,28,1239992000,196755,Tuesday
