,연도,전체개봉편수,전체상영편수,전체매출액,전체관객수,요일,가격,holiday
309,2004-11-05,4,26,1472386500,231601,Fri,8000,0
310,2004-11-06,0,25,2774301500,430193,Sat,8000,0
311,2004-11-07,0,26,2491998000,381980,Sun,8000,0
312,2004-11-08,0,22,881720000,139555,Mon,7000,0
313,2004-11-09,0,24,899536000,142842,Tue,7000,0
314,2004-11-10,0,27,856041000,135185,Wed,7000,0
315,2004-11-11,0,30,1011694500,161891,Thu,7000,0
316,2004-11-12,7,21,1092339000,172205,Fri,8000,0
317,2004-11-13,0,20,2333497000,365640,Sat,8000,0
318,2004-11-14,0,21,2030517000,310126,Sun,8000,0
319,2004-11-15,0,23,695957000,110509,Mon,7000,0
320,2004-11-16,0,35,834269000,134029,Tue,7000,0
321,2004-11-17,7,32,1039291000,172386,Wed,7000,0
322,2004-11-18,0,41,983664500,160550,Thu,7000,0
323,2004-11-19,0,37,1225207000,195164,Fri,8000,0
324,2004-11-20,0,28,2355350500,367941,Sat,8000,0
325,2004-11-21,0,27,2150167500,329468,Sun,8000,0
326,2004-11-22,0,31,774549000,124928,Mon,7000,0
327,2004-11-23,0,38,793319000,127782,Tue,7000,0
328,2004-11-24,0,38,799985500,128225,Wed,7000,0
329,2004-11-25,0,40,793715000,127156,Thu,7000,0
330,2004-11-26,7,32,1170619000,183934,Fri,8000,0
331,2004-11-27,0,28,2309550000,361158,Sat,8000,0
332,2004-11-28,0,28,2008333000,304629,Sun,8000,0
333,2004-11-29,0,28,690817500,110345,Mon,7000,0
334,2004-11-30,0,34,685372506,109543,Tue,7000,0
335,2004-12-01,0,34,724783000,115594,Wed,7000,0
336,2004-12-02,0,39,702493500,112178,Thu,7000,0
337,2004-12-03,6,33,1007780500,158114,Fri,8000,0
338,2004-12-04,0,33,2032632500,312740,Sat,8000,0
339,2004-12-05,0,33,1960131500,295864,Sun,8000,0
340,2004-12-06,0,35,636683000,101074,Mon,7000,0
341,2004-12-07,0,32,679579500,107239,Tue,7000,0
342,2004-12-08,2,31,853433500,134177,Wed,7000,0
343,2004-12-09,0,32,890228000,143083,Thu,7000,0
344,2004-12-10,5,31,1333335500,210999,Fri,8000,0
345,2004-12-11,0,31,2538913500,396518,Sat,8000,0
346,2004-12-12,0,31,2194534000,333058,Sun,8000,0
347,2004-12-13,0,28,883834000,141305,Mon,7000,0
348,2004-12-14,0,30,886629000,139806,Tue,7000,0
349,2004-12-15,4,27,1428202000,226599,Wed,7000,0
350,2004-12-16,0,39,1380243000,221604,Thu,7000,0
351,2004-12-17,0,32,1619058500,256131,Fri,8000,0
352,2004-12-18,0,25,3085036000,483157,Sat,8000,0
353,2004-12-19,0,25,2923670500,449853,Sun,8000,0
354,2004-12-20,0,27,1111130500,175323,Mon,7000,0
355,2004-12-21,0,27,1136684000,181769,Tue,7000,0
356,2004-12-22,0,32,1082713500,173340,Wed,7000,0
357,2004-12-23,4,25,1196897000,192030,Thu,7000,0
358,2004-12-24,1,26,3129584000,491126,Fri,8000,0
359,2004-12-25,0,26,4871377500,765011,Sat,8000,1
360,2004-12-26,0,27,3315137500,513314,Sun,8000,0
361,2004-12-27,0,25,1197562500,190011,Mon,7000,0
362,2004-12-28,0,27,1266453000,203321,Tue,7000,0
363,2004-12-29,0,29,1328825000,212071,Wed,7000,0
364,2004-12-30,2,30,1950971000,313578,Thu,7000,0
365,2004-12-31,4,29,3123914000,495229,Fri,8000,0
366,2005-01-01,0,28,4591282000,712128,Sat,8000,1
367,2005-01-02,0,30,3976799000,617352,Sun,8000,0
368,2005-01-03,0,30,1696796789,268410,Mon,7000,0
369,2005-01-04,0,29,1578807500,251021,Tue,7000,0
370,2005-01-05,0,29,1468925500,234712,Wed,7000,0
371,2005-01-06,0,30,1518140000,241979,Thu,7000,0
372,2005-01-07,4,31,2004154000,315616,Fri,8000,0
373,2005-01-08,0,31,3913841500,612850,Sat,8000,0
374,2005-01-09,0,30,3516314000,547616,Sun,8000,0
375,2005-01-10,0,31,1275241500,201939,Mon,7000,0
376,2005-01-11,0,30,1342887000,213703,Tue,7000,0
377,2005-01-12,0,35,1314633000,209191,Wed,7000,0
378,2005-01-13,0,31,1792171500,286570,Thu,7000,0
379,2005-01-14,6,29,2318182000,368028,Fri,8000,0
380,2005-01-15,0,27,4241836000,666372,Sat,8000,0
381,2005-01-16,0,30,3765667000,587008,Sun,8000,0
382,2005-01-17,0,24,1499676500,238995,Mon,7000,0
383,2005-01-18,0,30,1413557000,226377,Tue,7000,0
384,2005-01-19,0,30,1342281500,214356,Wed,7000,0
385,2005-01-20,1,37,1254890000,201162,Thu,7000,0
386,2005-01-21,7,32,1598203500,252235,Fri,8000,0
387,2005-01-22,0,28,3323690000,518116,Sat,8000,0
388,2005-01-23,0,32,3051100000,472743,Sun,8000,0
389,2005-01-24,0,32,1044988000,166024,Mon,7000,0
390,2005-01-25,0,31,1062970500,168848,Tue,7000,0
391,2005-01-26,0,34,1135171500,181016,Wed,7000,0
392,2005-01-27,3,30,2239452500,359880,Thu,7000,0
393,2005-01-28,2,28,2524974000,402338,Fri,8000,0
394,2005-01-29,0,28,4301933500,673317,Sat,8000,0
395,2005-01-30,0,28,4078423500,636875,Sun,8000,0
396,2005-01-31,0,29,1693934000,271520,Mon,7000,0
397,2005-02-01,0,32,1513097000,241014,Tue,7000,0
398,2005-02-02,0,31,1581054000,254031,Wed,7000,0
399,2005-02-03,3,29,2005824000,322922,Thu,7000,0
400,2005-02-04,2,26,2243180000,357298,Fri,8000,0
401,2005-02-05,0,26,4014125500,627632,Sat,8000,0
402,2005-02-06,0,26,3888418000,607512,Sun,8000,0
403,2005-02-07,0,26,3007668000,481406,Mon,7000,0
404,2005-02-08,1,25,3662575500,569181,Tue,8000,1
405,2005-02-09,0,25,3911026500,600225,Wed,8000,1
406,2005-02-10,0,24,5054402000,784448,Thu,8000,1
407,2005-02-11,0,25,3455464000,545918,Fri,8000,0
408,2005-02-12,0,26,4233752500,662484,Sat,8000,0
409,2005-02-13,0,26,3601552500,563664,Sun,8000,0
410,2005-02-14,0,31,1746425500,276390,Mon,7000,0
411,2005-02-15,0,26,1302638000,208116,Tue,7000,0
412,2005-02-16,0,30,1316972000,210387,Wed,7000,0
413,2005-02-17,0,30,1463674000,236139,Thu,7000,0
414,2005-02-18,6,25,1992315000,320420,Fri,8000,0
415,2005-02-19,0,27,3493706000,549597,Sat,8000,0
416,2005-02-20,0,27,3442889000,540286,Sun,8000,0
417,2005-02-21,0,25,1430144000,231361,Mon,7000,0
418,2005-02-22,0,26,1362016000,220894,Tue,7000,0
419,2005-02-23,0,25,1327162500,215397,Wed,7000,0
420,2005-02-24,2,27,1362734000,221785,Thu,7000,0
421,2005-02-25,5,23,1628688000,262174,Fri,8000,0
422,2005-02-26,0,23,3053087000,479206,Sat,8000,0
423,2005-02-27,0,25,2806708500,439136,Sun,8000,0
424,2005-02-28,0,27,1644142000,267455,Mon,7000,0
425,2005-03-01,0,27,3172086000,497832,Tue,8000,1
426,2005-03-02,1,32,811609000,128616,Wed,7000,0
427,2005-03-03,2,31,728722000,115503,Thu,7000,0
428,2005-03-04,1,26,886075000,137858,Fri,8000,0
429,2005-03-05,0,27,2168345500,330358,Sat,8000,0
430,2005-03-06,0,27,2311718500,356153,Sun,8000,0
431,2005-03-07,0,27,637111000,99948,Mon,7000,0
432,2005-03-08,0,27,610477500,96289,Tue,7000,0
433,2005-03-09,0,32,573113500,90623,Wed,7000,0
434,2005-03-10,4,34,886758500,140996,Thu,7000,0
435,2005-03-11,4,29,1322775500,206365,Fri,8000,0
436,2005-03-12,0,45,3014946289,465478,Sat,8000,0
437,2005-03-13,0,46,3006815500,466016,Sun,8000,0
438,2005-03-14,0,37,1246524500,195399,Mon,7000,0
439,2005-03-15,0,29,906952500,143435,Tue,7000,0
440,2005-03-16,0,32,921758000,146001,Wed,7000,0
441,2005-03-17,2,30,1105295500,176607,Thu,7000,0
442,2005-03-18,2,31,1519670000,239582,Fri,8000,0
443,2005-03-19,0,32,3338876000,520773,Sat,8000,0
444,2005-03-20,0,32,3255281000,505740,Sun,8000,0
445,2005-03-21,0,34,1014574500,161056,Mon,7000,0
446,2005-03-22,0,35,987337503,156780,Tue,7000,0
447,2005-03-23,0,35,981127000,155401,Wed,7000,0
448,2005-03-24,0,34,943050000,151035,Thu,7000,0
449,2005-03-25,6,33,1313500000,207437,Fri,8000,0
450,2005-03-26,0,33,3422490000,542775,Sat,8000,0
451,2005-03-27,0,33,2918606000,453347,Sun,8000,0
452,2005-03-28,0,32,847489890,134572,Mon,7000,0
453,2005-03-29,0,34,837620500,132896,Tue,7000,0
454,2005-03-30,0,35,807974500,129335,Wed,7000,0
455,2005-03-31,1,33,899349000,146542,Thu,7000,0
456,2005-04-01,6,32,1477327500,233797,Fri,8000,0
457,2005-04-02,1,28,3004936000,469185,Sat,8000,0
458,2005-04-03,0,28,2708963500,419047,Sun,8000,0
459,2005-04-04,0,26,1422325000,228894,Mon,7000,0
460,2005-04-05,0,27,3145067000,497363,Tue,8000,1
461,2005-04-06,0,29,762319500,121951,Wed,7000,0
462,2005-04-07,2,29,831766500,133170,Thu,7000,0
463,2005-04-08,2,30,1104373000,174777,Fri,8000,0
464,2005-04-09,1,30,2608128000,412944,Sat,8000,0
465,2005-04-10,0,32,2462116000,381290,Sun,8000,0
466,2005-04-11,0,30,693383500,110164,Mon,7000,0
467,2005-04-12,0,31,681183000,108511,Tue,7000,0
468,2005-04-13,0,31,677867000,107910,Wed,7000,0
